rpy.x,rpy.y,rpy.z
-0.005769550586999509,-0.011000948656125435,-2.5972413205833624
-0.00578043237634148,-0.011038221661063672,-2.5972411063890353
-0.005722525925625626,-0.010467184695409904,-2.597878352140417
-0.005856561717224198,-0.0060955627825168765,-2.6025618753224005
-0.007544191142069224,0.0053398465855724895,-2.6133866451451597
-0.011562891913589076,0.02285633252186085,-2.629208663335831
-0.01901680619485319,0.04272956832101343,-2.6504028210103177
-0.029354461426560098,0.061750706324924666,-2.6735574620821883
-0.043300579452107725,0.07855088055953834,-2.696477171985107
-0.0589787726651675,0.09249014046165352,-2.71776962278866
-0.07602666865006594,0.10413409078252116,-2.738953295084002
-0.09510455514871312,0.11351215965040952,-2.7598271649493262
-0.11590466499741145,0.12064818731599133,-2.780556494287523
-0.13833324690548043,0.12538441640439282,-2.8020790917200107
-0.16188324515234684,0.12736510828491132,-2.8231759700067136
-0.18630317551789474,0.1266906184065156,-2.8440595373139375
-0.21140905093534276,0.1233296650655296,-2.865452536762419
-0.2367465899481454,0.11656326592923663,-2.886551137242999
-0.26211942146201234,0.10703558136199111,-2.9071308931521087
-0.2870709819409909,0.0945426673464989,-2.9270604201693637
-0.3117321352649156,0.07871404450098891,-2.9464710393028186
-0.33524945171228127,0.060069210711654775,-2.9652793286911865
-0.35749718208312514,0.038611882853912254,-2.982958313135866
-0.37835083669928665,0.014338449227487239,-2.999701064847706
-0.3976131058940423,-0.012669998085798984,-3.015769586300917
-0.4147540449572384,-0.04191662347109475,-3.0309251647646605
-0.4299289647692626,-0.07385424370183057,-3.045064916902758
-0.4429584018092997,-0.1078593125670091,-3.0584011058881435
-0.4533227543504132,-0.14388150899132587,-3.0712402530493463
-0.4610515551131761,-0.1815667660330752,-3.083714223990153
-0.4658831137526526,-0.22069741472772741,-3.0958587847171257
-0.4677924008665297,-0.2613118656101472,-3.1080485065644874
-0.46646170029464806,-0.30301611307495563,-3.120443369797604
-0.4617050601654925,-0.34547824367558017,-3.1333194219515597
-0.4531722935833508,-0.3886381277548907,3.1359944464649185
-0.4405687636392593,-0.43215977810563205,3.1207988517524887
-0.4236135275629788,-0.4755180469501736,3.1038219096217237
-0.402139447542772,-0.5185445411235896,3.0840193576009716
-0.37542472027930834,-0.5608565352780603,3.0618338081217384
-0.34336790100245274,-0.601934476842463,3.036703167746662
-0.30545885198276074,-0.64140629627674,3.007800431171184
