IMU,nth_pos,acc.x,acc.y,acc.z,gyr.x,gyr.y,gyr.z,mag.x,mag.y,mag.z,mag.norm,nsecs,secs
1.0,0,-0.059855956584215164,0.004788476508110762,10.84589958190918,-0.014114969410002232,0.02769729681313038,0.002130561275407672,14.486680030822754,13.834795951843262,9.614835739135742,22.219598187976743,42524271,1720698538
1.0,0,-0.06943290680646896,-0.002394238254055381,10.893783569335938,-0.01145176775753498,0.029561540111899376,0.001065280637703836,15.882987022399902,14.885540008544922,9.614835739135742,23.79692510368256,54524271,1720698538
1.0,0,-0.07182714343070984,0.023942383006215096,10.824350357055664,-0.016778171062469482,0.03009418025612831,0.002130561275407672,15.70844841003418,13.659672737121582,9.10879135131836,22.722501856481827,67524271,1720698538
1.0,0,-0.09576953202486038,0.011971191503107548,10.814773559570312,-0.01145176775753498,0.030626820400357246,0.000532640318851918,15.70844841003418,14.710416793823242,10.289560317993164,23.854281905694034,79524271,1720698538
1.0,0,-0.1795678734779358,0.05267323926091194,10.884206771850586,-0.01384864840656519,0.02982785925269127,0.0018642412032932043,16.406600952148438,15.060664176940918,10.120879173278809,24.4628770894541,92524271,1720698538
1.0,0,-0.14365428686141968,-0.023942383006215096,10.867447853088379,-0.015180249698460102,0.02689833752810955,0.004793763160705566,17.279293060302734,14.185044288635254,9.614835739135742,24.33586892685223,104524271,1720698538
1.0,0,-0.07661562412977219,0.019153906032443047,10.836321830749512,-0.015180249698460102,0.02689833752810955,0.004793763160705566,15.184833526611328,13.834795951843262,9.277472496032715,22.540014289584683,117524271,1720698538
1.0,0,-0.06703867018222809,0.03591357171535492,10.857871055603027,-0.015446570701897144,0.02902889810502529,0.002130561275407672,15.533909797668457,15.235788345336914,9.614835739135742,23.788162316508735,129524271,1720698538
1.0,0,-0.1221061497926712,0.07182714343070984,10.888995170593262,-0.015180249698460102,0.028229938820004463,0.001065280637703836,15.533909797668457,15.235788345336914,9.614835739135742,23.788162316508735,142524271,1720698538
1.0,0,-0.13886581361293793,-0.007182714529335499,10.843505859375,-0.015180249698460102,0.024235136806964874,0.0015979211311787367,15.533909797668457,15.235788345336914,9.614835739135742,23.788162316508735,154524271,1720698538
1.0,0,-0.04549052566289902,-0.02633661963045597,10.896178245544434,-0.015712888911366463,0.026099376380443573,0.002130561275407672,15.533909797668457,15.235788345336914,9.614835739135742,23.788162316508735,167524271,1720698538
1.0,0,-0.15323124825954437,0.023942383006215096,10.860264778137207,-0.017044490203261375,0.029561540111899376,-0.001065280637703836,15.533909797668457,15.235788345336914,9.614835739135742,23.788162316508735,179524271,1720698538
1.0,0,-0.15323124825954437,0.023942383006215096,10.860264778137207,-0.017044490203261375,0.029561540111899376,-0.001065280637703836,13.264911651611328,13.659672737121582,11.132966995239258,22.056461514200397,192524271,1720698538
1.0,0,-0.10055800527334213,0.011971191503107548,10.87702465057373,-0.01384864840656519,0.03089314140379429,0.0013316008262336254,16.057525634765625,14.009920120239258,11.132966995239258,24.04298120873796,204524271,1720698538
1.0,0,-0.09816376864910126,0.04788476601243019,10.843505859375,-0.015180249698460102,0.02982785925269127,0.002130561275407672,15.359371185302734,14.36016845703125,9.783516883850098,23.191419187682396,217524271,1720698538
1.0,0,-0.1221061497926712,0.08140409737825394,10.850687980651855,-0.011984407901763916,0.030360499396920204,0.002929521957412362,16.755678176879883,14.36016845703125,9.783516883850098,24.138856474532176,229524271,1720698538
1.0,0,-0.059855956584215164,0.04070204868912697,10.824350357055664,-0.011718087829649448,0.03275737911462784,0.001065280637703836,16.406600952148438,13.659672737121582,10.795604705810547,23.922965849836,242524271,1720698538
1.0,0,-0.050279002636671066,0.050279002636671066,10.87941837310791,-0.012250727973878384,0.02982785925269127,-0.0015979211311787367,14.835756301879883,14.185044288635254,9.952198028564453,22.81143117209165,254524271,1720698538
1.0,0,-0.10774072259664536,0.07422138750553131,10.893783569335938,-0.012783369049429893,0.02982785925269127,0.0013316008262336254,14.486680030822754,13.834795951843262,9.614835739135742,22.219598187976743,267524271,1720698538
1.0,0,-0.07900986075401306,0.033519335091114044,10.865053176879883,-0.012517048045992851,0.03009418025612831,0.003994802478700876,15.70844841003418,16.111408233642578,10.120879173278809,24.67316400387068,279524271,1720698538
1.0,0,-0.07661562412977219,0.014365429058670998,10.841111183166504,-0.013049688190221786,0.029561540111899376,0.002130561275407672,15.359371185302734,13.659672737121582,11.807692527770996,23.70482114093143,292524271,1720698538
1.0,0,-0.09816376864910126,0.04070204868912697,10.838715553283691,-0.012517048045992851,0.028229938820004463,0.002929521957412362,16.93021583557129,14.185044288635254,9.952198028564453,24.225893901140875,304524271,1720698538
1.0,0,-0.08379834145307541,0.014365429058670998,10.87941837310791,-0.01757713221013546,0.02769729681313038,0.000532640318851918,16.057525634765625,15.41091251373291,11.132966995239258,24.885403515598686,317524271,1720698538
1.0,0,-0.09816376864910126,0.055067479610443115,10.838715553283691,-0.01384864840656519,0.03115946054458618,0.004261122550815344,15.882987022399902,15.235788345336914,9.277472496032715,23.884514212607954,329524271,1720698538
1.0,0,-0.10774072259664536,0.023942383006215096,10.917725563049316,-0.015446570701897144,0.02902889810502529,0.006125363986939192,15.359371185302734,16.111408233642578,10.458242416381836,24.593954397753972,342524271,1720698538
1.0,0,-0.09816376864910126,0.04070204868912697,10.800408363342285,-0.014913929626345634,0.02902889810502529,0.000266320159425959,14.486680030822754,14.185044288635254,9.277472496032715,22.29688040288654,354524271,1720698538
1.0,0,-0.09098105132579803,0.03591357171535492,10.778861045837402,-0.016778171062469482,0.028496257960796356,0.005060083232820034,16.581140518188477,14.185044288635254,10.289560317993164,24.125189199093857,367524271,1720698538
1.0,0,-0.07900986075401306,0.019153906032443047,10.836321830749512,-0.016245530918240547,0.03089314140379429,0.003994802478700876,15.533909797668457,14.535292625427246,11.976373672485352,24.413328565599162,379524271,1720698538
1.0,0,-0.02633661963045597,0.028730858117341995,10.888995170593262,-0.011984407901763916,0.030626820400357246,0.002663201652467251,16.406600952148438,14.36016845703125,10.120879173278809,24.037953077528503,392524271,1720698538
1.0,0,-0.06703867018222809,0.004788476508110762,10.82674503326416,-0.013049688190221786,0.03115946054458618,-0.0015979211311787367,15.184833526611328,14.185044288635254,8.940110206604004,22.621233856880313,404524271,1720698538
1.0,0,-0.09576953202486038,0.05267323926091194,10.860264778137207,-0.015446570701897144,0.03009418025612831,0.0013316008262336254,15.010294914245605,14.710416793823242,9.783516883850098,23.182375164706578,417524271,1720698538
1.0,0,-0.14604853093624115,0.02154814451932907,10.865053176879883,-0.013316008262336254,0.03115946054458618,0.000532640318851918,15.359371185302734,15.060664176940918,10.120879173278809,23.773221992372175,429524271,1720698538
1.0,0,-0.06464443355798721,-0.014365429058670998,10.867447853088379,-0.010386486537754536,0.030360499396920204,0.002396881580352783,15.359371185302734,15.060664176940918,10.120879173278809,23.773221992372175,442524271,1720698538
1.0,0,-0.09098105132579803,0.011971191503107548,10.87702465057373,-0.012783369049429893,0.028496257960796356,-0.000266320159425959,15.359371185302734,15.060664176940918,10.120879173278809,23.773221992372175,454524271,1720698538
1.0,0,-0.10534647852182388,0.07900986075401306,10.819561958312988,-0.012250727973878384,0.02769729681313038,0.0007989605655893683,15.359371185302734,15.060664176940918,10.120879173278809,23.773221992372175,467524271,1720698538
1.0,0,-0.05267323926091194,0.06943290680646896,10.838715553283691,-0.016245530918240547,0.030360499396920204,0.003994802478700876,15.359371185302734,15.060664176940918,10.120879173278809,23.773221992372175,479524271,1720698538
1.0,0,-0.07661562412977219,0.08858681470155716,10.872236251831055,-0.0143812894821167,0.030626820400357246,0.0031958422623574734,16.057525634765625,14.009920120239258,9.783516883850098,23.44865015098353,492524271,1720698538
1.0,0,-0.03591357171535492,0.03830781206488609,10.87941837310791,-0.015979209914803505,0.02902889810502529,0.002130561275407672,15.184833526611328,15.586036682128906,10.626923561096191,24.216424448315003,504524271,1720698538
1.0,0,-0.059855956584215164,0.02633661963045597,10.848294258117676,-0.014913929626345634,0.02583305537700653,0.0013316008262336254,16.93021583557129,14.535292625427246,9.952198028564453,24.43262543292453,517524271,1720698538
1.0,0,-0.08619257807731628,0.07422138750553131,10.831533432006836,-0.013316008262336254,0.03009418025612831,0.002929521957412362,14.661218643188477,14.009920120239258,10.458242416381836,22.81674885514302,529524271,1720698538
1.0,0,-0.12689462304115295,0.016759667545557022,10.855476379394531,-0.013582328334450722,0.030360499396920204,0.002130561275407672,15.882987022399902,14.185044288635254,8.602747917175293,22.96719464694657,542524271,1720698538
1.0,0,-0.09576953202486038,0.016759667545557022,10.867447853088379,-0.013582328334450722,0.030360499396920204,-0.000532640318851918,14.835756301879883,13.484548568725586,8.602747917175293,21.816048837439645,555524271,1720698538
1.0,0,-0.08858681470155716,0.028730858117341995,10.886601448059082,-0.0143812894821167,0.028229938820004463,0.0018642412032932043,16.057525634765625,13.30942440032959,11.132966995239258,23.64165521904781,567524271,1720698538
1.0,0,-0.1221061497926712,0.05267323926091194,10.790831565856934,-0.013582328334450722,0.029295219108462334,0.001065280637703836,15.184833526611328,14.885540008544922,10.626923561096191,23.77162120996951,580524271,1720698538
1.0,0,-0.13886581361293793,0.05267323926091194,10.798014640808105,-0.01757713221013546,0.028496257960796356,0.002396881580352783,16.057525634765625,14.36016845703125,9.10879135131836,23.388643558516225,592524271,1720698538
1.0,0,-0.050279002636671066,0.08140409737825394,10.82913875579834,-0.01651185005903244,0.028496257960796356,0.002396881580352783,15.533909797668457,14.535292625427246,10.289560317993164,23.631591923662683,605524271,1720698538
